file_size,fragments,error_type,error_rate_pct,errors_injected,trials,successes,success_rate,status
1000,15,substitution,0.1%,0,3,3,100.0,PASS
1000,15,substitution,0.5%,14,3,3,100.0,PASS
1000,15,substitution,1.0%,43,3,0,0.0,FAIL
1000,15,substitution,2.0%,87,3,0,0.0,FAIL
1000,15,substitution,5.0%,218,3,0,0.0,FAIL
1000,15,deletion,0.1%,0,3,3,100.0,PASS
1000,15,deletion,0.5%,14,3,0,0.0,FAIL
1000,15,deletion,1.0%,43,3,0,0.0,FAIL
1000,15,deletion,2.0%,87,3,0,0.0,FAIL
1000,15,deletion,5.0%,218,3,0,0.0,FAIL
1000,15,insertion,0.1%,0,3,3,100.0,PASS
1000,15,insertion,0.5%,14,3,0,0.0,FAIL
1000,15,insertion,1.0%,43,3,0,0.0,FAIL
1000,15,insertion,2.0%,87,3,0,0.0,FAIL
1000,15,insertion,5.0%,218,3,0,0.0,FAIL
5000,68,substitution,0.1%,0,3,3,100.0,PASS
5000,68,substitution,0.5%,68,3,3,100.0,PASS
5000,68,substitution,1.0%,203,3,0,0.0,FAIL
5000,68,substitution,2.0%,407,3,0,0.0,FAIL
5000,68,substitution,5.0%,1018,3,0,0.0,FAIL
5000,68,deletion,0.1%,0,3,3,100.0,PASS
5000,68,deletion,0.5%,68,3,0,0.0,FAIL
5000,68,deletion,1.0%,203,3,0,0.0,FAIL
5000,68,deletion,2.0%,407,3,0,0.0,FAIL
5000,68,deletion,5.0%,1018,3,0,0.0,FAIL
5000,68,insertion,0.1%,0,3,3,100.0,PASS
5000,68,insertion,0.5%,68,3,0,0.0,FAIL
5000,68,insertion,1.0%,203,3,0,0.0,FAIL
5000,68,insertion,2.0%,407,3,0,0.0,FAIL
5000,68,insertion,5.0%,1018,3,0,0.0,FAIL
10000,135,substitution,0.1%,0,3,3,100.0,PASS
10000,135,substitution,0.5%,134,3,3,100.0,PASS
10000,135,substitution,1.0%,403,3,0,0.0,FAIL
10000,135,substitution,2.0%,807,3,0,0.0,FAIL
10000,135,substitution,5.0%,2018,3,0,0.0,FAIL
10000,135,deletion,0.1%,0,3,3,100.0,PASS
10000,135,deletion,0.5%,134,3,0,0.0,FAIL
10000,135,deletion,1.0%,403,3,0,0.0,FAIL
10000,135,deletion,2.0%,807,3,0,0.0,FAIL
10000,135,deletion,5.0%,2018,3,0,0.0,FAIL
10000,135,insertion,0.1%,0,3,3,100.0,PASS
10000,135,insertion,0.5%,134,3,0,0.0,FAIL
10000,135,insertion,1.0%,403,3,0,0.0,FAIL
10000,135,insertion,2.0%,807,3,0,0.0,FAIL
10000,135,insertion,5.0%,2018,3,0,0.0,FAIL
